time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location,imu
1590560513.4468,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.4512,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.4568,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.4612,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.4668,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.4712,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.4769,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.4812,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.4868,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.4912,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.4968,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.5012,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.5068,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.5112,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.5170,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.5213,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.5269,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.5313,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.5369,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.5412,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.5469,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.5512,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.5568,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.5614,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.5669,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.5713,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.5768,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.5812,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.5869,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.5912,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.5968,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.6012,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.6069,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.6112,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.6168,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.6212,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.6269,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.6312,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.6369,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.6412,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.6469,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.6513,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.6569,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.6613,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.6669,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.6713,0,1,50,0,1,0.0,nan,1,0.0,0.0,6,0.05
1590560513.6729,1,1,0,12.0,1,0.0,nan,1,0.0,0.0,6,0.05
1590560513.6769,0,1,0,12.0,1,0.0,nan,1,0.0,0.0,0,0.05
1590560513.6813,0,1,0,12.0,1,0.0,nan,1,0.0,0.0,6,0.05
1590560513.6832,1,1,0,12.0,1,0.0,nan,1,0.0,0.0,6,0.05
1590560513.6869,0,1,0,12.0,1,0.0,nan,1,0.0,0.0,0,0.05
1590560513.6912,0,1,0,12.0,1,0.0,nan,1,0.0,0.0,6,0.05
1590560513.6935,1,1,0,12.0,1,0.0,nan,1,0.0,0.0,6,0.05
1590560513.6969,0,1,0,12.0,1,0.0,nan,1,0.0,0.0,0,0.05
1590560513.7012,0,1,0,12.0,1,0.0,nan,1,0.0,0.0,6,0.05
1590560513.7035,1,1,0,12.0,1,0.0,nan,1,0.0,0.0,6,0.05
1590560513.7069,0,1,0,12.0,1,0.0,nan,1,0.0,0.0,0,0.05
1590560513.7113,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.7170,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.7213,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.7269,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.7314,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.7369,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.7412,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.7469,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.7512,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.7569,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.7612,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.7669,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.7712,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.7769,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.7812,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.7869,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.7913,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.7969,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.8012,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.8069,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.8112,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.8169,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.8212,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.8268,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.8312,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.8369,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.8412,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.8469,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.8512,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.8568,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.8612,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.8669,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.8712,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.8769,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.8812,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.8868,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.8912,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.8969,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.9012,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.9068,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.9112,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.9169,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.9212,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.9269,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.9313,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.9368,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.9412,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.9469,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.9512,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.9568,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.9612,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.9669,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.9712,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.9769,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.9812,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.9869,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.9912,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.9968,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560514.0012,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560514.0068,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560514.0112,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560514.0169,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560514.0212,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560514.0269,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560514.0369,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560514.0459,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560514.0469,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560514.0518,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560514.0569,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560514.0619,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560514.0669,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560514.0718,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560514.0769,0,1,50,12.0,0,0.0,nan,1,0.0,0.0,0,0.05
